Price,Year,Mileage,City,State,Vin,Make,Model
22999,2012,25493,Owasso, OK,2C3CCAPT1CH253973,Chrysler,3004dr
12500,2015,25445,Lewisville, TX,1C3CCCAB6FN715046,Chrysler,200Limited
27888,2016,25361,Carrollton, TX,2C4RC1GG3GR111973,Chrysler,Town
22990,2016,25180,Taylorville, IL,2C4RC1BG5GR290296,Chrysler,Town
21991,2015,25162,Plano, IL,2C4RC1BG7FR521813,Chrysler,Town
22999,2013,25113,Philadelphia, PA,2C4RC1CG4DR598151,Chrysler,Town
23900,2014,25049,Amityville, NY,2C3CCAGG3EH142234,Chrysler,300300S
16995,2016,24825,Laurinburg, NC,1C3CCCAB1GN132076,Chrysler,200Limited
24995,2016,24583,Kahului, HI,2C4RC1BG8GR157189,Chrysler,Town
27940,2017,24534,Taylor, TX,2C4RC1BG2HR576513,Chrysler,PacificaTouring-L
25409,2016,24486,Des Moines, IA,2C3CCAKG7GH325257,Chrysler,300300C
33750,2017,24475,Rockford, IL,2C4RC1EG6HR644632,Chrysler,PacificaTouring-L
26500,2016,24353,Brooklyn Park, MN,2C4RC1CG1GR215545,Chrysler,Town
24499,2015,24333,Des Moines, IA,2C4RC1CG7FR589642,Chrysler,Town
24481,2015,24217,New Castle, DE,2C4RC1CG3FR742355,Chrysler,Town
